input,output
" certainly . After years of hard work , I wouldn't miss it . By the way , where can I find cap and gown ? ", do you want to have them made or do you want to rent them ? 
 do you want to have them made or do you want to rent them ? ," oh , I think they're provided by the school for that special day . "
" oh , I think they're provided by the school for that special day . ", no . those you have to provide for yourself . 
 no . those you have to provide for yourself . , what do most of the students do ? 
 what do most of the students do ? ," well , most of them only need a cap and gown for that particular convocation service , but some of the education majors have had them made , because they will be faculty members , and they'll need them f "
" well , most of them only need a cap and gown for that particular convocation service , but some of the education majors have had them made , because they will be faculty members , and they'll need them f "," then , I might as well have them made . "
" then , I might as well have them made . "," Mary , don't move . Stand right there . It's a good shot . The background is very pretty . "
" Mary , don't move . Stand right there . It's a good shot . The background is very pretty . ", hold it a second . I want to fix my hairpin . 
 hold it a second . I want to fix my hairpin . , it doesn't matter . Say'cheese ' . 
 it doesn't matter . Say'cheese ' . , here's Lisa . May I take a picture with her ? 
 here's Lisa . May I take a picture with her ? ," Certainly . Ok , got you . "
Do you mind if I ask you a question ? ," No , not at all . Go ahead . "
" No , not at all . Go ahead . ", What do you do in order to improve your English ? 
 What do you do in order to improve your English ? ," I go to movies ; I go to lectures ; I listen to the radio ; I do lots of things . Most importantly , I practice every chance I get . "
" I go to movies ; I go to lectures ; I listen to the radio ; I do lots of things . Most importantly , I practice every chance I get . "," It ’ s a good idea to have a radio , isn ’ t it ? "
" It ’ s a good idea to have a radio , isn ’ t it ? ", Sure . It ’ s like understanding on the telephone — — you can ’ t see the speaker ! It ’ s great for improving listening comprehension . 
 Sure . It ’ s like understanding on the telephone — — you can ’ t see the speaker ! It ’ s great for improving listening comprehension . ," It takes a long time to learn a language , doesn ’ t it ? "
" It takes a long time to learn a language , doesn ’ t it ? ", It certainly does . But if you practice speaking every spare minute and learn useful sentences every day you can make big progress . 
"Good morning , Sue . "," Good morning , Tom.How are you ? "
" Good morning , Tom.How are you ? "," I'm fine , thanks , how about yourself ? "
" I'm fine , thanks , how about yourself ? ", Things couldn't be better.Where are you going now ? 
 Things couldn't be better.Where are you going now ? , I am heading for the library . I've got a research project to do.How about you ? 
 I am heading for the library . I've got a research project to do.How about you ? ," I'm going to the English class.It ' ll start in five minutes , I've got to run . "
" I'm going to the English class.It ' ll start in five minutes , I've got to run . "," See you later , alligator . "
" See you later , alligator . "," After a while , crocodile . "
Is the environment a big issues in your country ? It is in mine . , It is in mine too.The biggest issue is water . The climate is dry and so water conservation is very important . 
 It is in mine too.The biggest issue is water . The climate is dry and so water conservation is very important . , What methods do you use to conserve water ? 
 What methods do you use to conserve water ? ," Water is rationed . We can only use a certain amount each month . It means that we cannot use some modern household items , like washing machines . They use too much water . "
" Water is rationed . We can only use a certain amount each month . It means that we cannot use some modern household items , like washing machines . They use too much water . ", I see . I think the biggest environment problem in my country is air pollution . 
 I see . I think the biggest environment problem in my country is air pollution . ," Yes , I agree . The air here is much more polluted than in my country . Of course , my country is more agricultural and has much less industry . "
" Yes , I agree . The air here is much more polluted than in my country . Of course , my country is more agricultural and has much less industry . "," We have reduced emission of air pollutants in recent years , but cars are still a major source of them . Factories have become cleaner as stricter environment pollution law have been introduced . "
" We have reduced emission of air pollutants in recent years , but cars are still a major source of them . Factories have become cleaner as stricter environment pollution law have been introduced . ", The problem is now on a truly global scale . I don ’ t believe that any single country can do anything about it . 
 The problem is now on a truly global scale . I don ’ t believe that any single country can do anything about it . , I think you ’ re right . There needs to be an international response to this problem . 
Hurry up . Time is running out . , I see . I have run as fast as I can . 
"Hi Cody , how did practicing go this week ? "," Well I had several tests and an oral presentation this week so I didn ’ t get a chance to memorize the second page , but I think I mastered the tricky section . "
" Well I had several tests and an oral presentation this week so I didn ’ t get a chance to memorize the second page , but I think I mastered the tricky section . "," Great ! Warm up with some scales and arpeggios first . Good , good . This week , work on keeping the rhythm steady when you play the last part with the sixteenth note . Now let ’ s take a look at this "
" Great ! Warm up with some scales and arpeggios first . Good , good . This week , work on keeping the rhythm steady when you play the last part with the sixteenth note . Now let ’ s take a look at this ", Charles ? Before I start I was wondering if it was ok if I put a small crescendo in here and then decrescendo back to pianissimo again over here ? 
 Charles ? Before I start I was wondering if it was ok if I put a small crescendo in here and then decrescendo back to pianissimo again over here ? , It might work . I ’ ll have to hear it.Show me what you ’ Ve done . 
 It might work . I ’ ll have to hear it.Show me what you ’ Ve done . , It was horrible ! I played play it much better at home ! 
 It was horrible ! I played play it much better at home ! ," It ’ s just nerves . Just play the right hand for now . One two three four five six , ta ti tri-ple-ti . Good , good . Don ’ t forget the accidentals ! The key signature says that note should be a G-sharp b "
" It ’ s just nerves . Just play the right hand for now . One two three four five six , ta ti tri-ple-ti . Good , good . Don ’ t forget the accidentals ! The key signature says that note should be a G-sharp b ", Is that better ? 
 Is that better ? ," Yes , much better . Watch where you lift your foot off the pedal . What was that ? "
" Yes , much better . Watch where you lift your foot off the pedal . What was that ? ", Sorry ! The stretch for that octave is always hard to make . 
 Sorry ! The stretch for that octave is always hard to make . ," That's ok , keep going , you ’ re moving ahead by leaps and bounds . Watch your dynamics ! Keep your elbows lifted . Remember to stroke the keys , don ’ t pound . That ’ s better ! Remember that as a pianist or any "
Can you tell me the time ? , It's 5:30 by my watch . 
 It's 5:30 by my watch . , Is your watch right ? 
 Is your watch right ? , Yes . There's only a few seconds in a whole month . 
I heard that you're going on your first date Friday night . ," Are you angry , Lisa ? "
" Are you angry , Lisa ? ", Angry ? Why would I be ? 
 Angry ? Why would I be ? , Please don't tell my mom . 
 Please don't tell my mom . ," Come on . Dating is a part of young people's social life . Besides , you're sixteen already . "
" Come on . Dating is a part of young people's social life . Besides , you're sixteen already . ", I'm glad that you see it that way . 
 I'm glad that you see it that way . , Do you want to borrow my coat ? I have a black coat that would look smashing on you . 
 Do you want to borrow my coat ? I have a black coat that would look smashing on you . ," Thank you so much , Lisa ! "
"Hi , Mary , long time no see . ", I heard through the grapevine that your getting married . 
 I heard through the grapevine that your getting married . ," Yes , next March . "
" Yes , next March . "," Congratulations , I hope everything works out . "
"Jim and you are bosom friends , aren't you ? ", I wouldn't say so . 
 I wouldn't say so . , What do you mean ? 
 What do you mean ? ," Well , I thought he was , but he ends up to be a con man . "
is everything alright ? ," yes , everything is fine . "
" yes , everything is fine . ", what took so long ? I thought your flight was supposed to arrive 3 hours ago ! 
 what took so long ? I thought your flight was supposed to arrive 3 hours ago ! , didn't they announce that our flight was delayed ? 
 didn't they announce that our flight was delayed ? , I didn't hear anything about a delay . I thought everything was running on time . What happened ? 
 I didn't hear anything about a delay . I thought everything was running on time . What happened ? ," we boarded the plane on time , but then we were held up for almost an hour due to a maintenance problem . "
" we boarded the plane on time , but then we were held up for almost an hour due to a maintenance problem . ", then what ? Your plane was three hours late ! 
 then what ? Your plane was three hours late ! ," we finally took off , but about 30 minutes later , the captain came on the loudspeaker to warn us that there would be some bad turbulence for most of the flight . "
" we finally took off , but about 30 minutes later , the captain came on the loudspeaker to warn us that there would be some bad turbulence for most of the flight . "," turbulence is pretty normal , isn't it ? "
" turbulence is pretty normal , isn't it ? "," yes , but this was the worst turbulence I'd ever experienced in my life ! Everyone started getting sick . The flight attendants had to stay in their seats . The captain decided to land early . "
" yes , but this was the worst turbulence I'd ever experienced in my life ! Everyone started getting sick . The flight attendants had to stay in their seats . The captain decided to land early . ", so where did you land ? 
 so where did you land ? , we landed in Southampton and waited an hour for the storms to pass and then took off again . 
 we landed in Southampton and waited an hour for the storms to pass and then took off again . , that sounds like a nightmare ! 
 that sounds like a nightmare ! , it wasn't too bad . At lease I'm alive . 
 it wasn't too bad . At lease I'm alive . , have you had anything to eat ? 
 have you had anything to eat ? , I managed to get a sandwich from a flight attendant . How about you ? 
 I managed to get a sandwich from a flight attendant . How about you ? , I had a few coffees while I was waiting . Let's get out of here ! 
I've got some bad news about the bike you lent me . , What's that ? 
 What's that ? ," I fell on the way to school , and your bike got scratched . I'm really sorry . "
" I fell on the way to school , and your bike got scratched . I'm really sorry . "," Don't worry about it . It's not new , it already has a few scratches . Did you get hurt ? "
" Don't worry about it . It's not new , it already has a few scratches . Did you get hurt ? "," No , thank you . "
" No , thank you . ", That's the most important thing . 
 That's the most important thing . , It's kind of you to say . I feel a little stupid . 
 It's kind of you to say . I feel a little stupid . , Forget about it . 
 Forget about it . ," When you lent me the bike , it looked brand new , almost anyway . "
" When you lent me the bike , it looked brand new , almost anyway . "," Maybe , but really I have fallen a couple of times and it's been hit once or twice as well . "
" Maybe , but really I have fallen a couple of times and it's been hit once or twice as well . "," I appreciate that , thank you . "
What date is it today ? ," Today is December 23,2002 . "
" Today is December 23,2002 . "," Oh , the day after tomorrow is Christmas . "
" Oh , the day after tomorrow is Christmas . ", Merry Christmas to you ! 
"Hello ! I'm Penny , I moved here just now . "," Oh , Penny , I'm Leonard , glad to meet you . "
" Oh , Penny , I'm Leonard , glad to meet you . "," Nice to meet you , too . I thought I should come and say hello to you . I haven't known anybody . "
" Nice to meet you , too . I thought I should come and say hello to you . I haven't known anybody . "," It is hard to get used to a new place , isn't it ? "
" It is hard to get used to a new place , isn't it ? ", Yes . Would you like to come here later to have a coffee ? Bring all your family . 
 Yes . Would you like to come here later to have a coffee ? Bring all your family . , We'd like to . Can you tell me when we go ? 
 We'd like to . Can you tell me when we go ? , About 4 . 
 About 4 . , OK . Do you want us to bring something ? 
 OK . Do you want us to bring something ? ," No , just come here . "
" No , just come here . "," OK , see you later . "
" OK , see you later . ", Bye . 
"You know what , last night I almost got hit by a vase falling from the third floor . "," Oh , how dreadful ! I ’ m ever so sorry . "
" Oh , how dreadful ! I ’ m ever so sorry . ", Luckily that was nothing serious . 
 Luckily that was nothing serious . , Thank God ! 
"I do feel like a trip to Florida on such a gloomy day in New York , to enjoy the sunshine while lying on the beaches of Florida . ", That's a great idea . It's the best season for tourists in Florida . You can also get a good sun-tan there . 
 That's a great idea . It's the best season for tourists in Florida . You can also get a good sun-tan there . ," But if the sunshine is too strong , it might damage the eyes and the skin . "
" But if the sunshine is too strong , it might damage the eyes and the skin . ", You can put on your shades . And remember don't make your skin look like a tomato . Or else after that your skin will begin to flake off . You may even wind up with skin cancer . 
 You can put on your shades . And remember don't make your skin look like a tomato . Or else after that your skin will begin to flake off . You may even wind up with skin cancer . , I see . Overdoing it will do more harm than good . 
 I see . Overdoing it will do more harm than good . , You said it . 
I just finished reading this article ' Getting Old Gracefully ' . It's a very good article . , What does it say ? 
 What does it say ? , A lot of things . There is a part about how old people should accept being old and stop feeling restless . You really should read it . 
 A lot of things . There is a part about how old people should accept being old and stop feeling restless . You really should read it . , Thank you . But I don't think I'll bother . 
 Thank you . But I don't think I'll bother . ," Why not ? What this article says makes good sense to me . If you read it , I'm sure you'll agree with me . "
" Why not ? What this article says makes good sense to me . If you read it , I'm sure you'll agree with me . "," I don't think I'll have any trouble with getting old . But perhaps you can keep the article for a while , I may read it later . "
Thanks for coming shopping with me . , I'm so honored that you thought to ask me . 
 I'm so honored that you thought to ask me . , I've never given a speech in front of a thousand people before . 
 I've never given a speech in front of a thousand people before . , You're going to do great . And you're going to look great . 
 You're going to do great . And you're going to look great . , Thanks . Now let's decide which one of these suits looks best for this occasion . 
 Thanks . Now let's decide which one of these suits looks best for this occasion . , I still like the olive one best . There's a tailor here who can take up the sleeves for you . 
 I still like the olive one best . There's a tailor here who can take up the sleeves for you . ," The question is , can he have it done before Friday ? "
" The question is , can he have it done before Friday ? ", These guys are professional . I think they can have it done tomorrow . Let's ask . 
"I love slim girls , don ’ t you ? ", Not particularly . I like fat girls . 
 Not particularly . I like fat girls . ," And I like a girl with good skin , do you ? "
" And I like a girl with good skin , do you ? ", I can ’ t say I do . What I like a girl with good manners . 
 I can ’ t say I do . What I like a girl with good manners . ," Well , yes . But surely you like a girl with a nice figure . "
" Well , yes . But surely you like a girl with a nice figure . ", Yes . But I like a girl with a nice personality . 
 Yes . But I like a girl with a nice personality . ," But you like a girl to be rich , surely ? "
" But you like a girl to be rich , surely ? ", Not particularly . I like a girl to be good . 
What's going on here ? , We're waiting in line to get one of Master Li's Chinese couplets . I got one last year and I had good luck all year ! 
 We're waiting in line to get one of Master Li's Chinese couplets . I got one last year and I had good luck all year ! , Master Li ? Who's that ? 
 Master Li ? Who's that ? , He's Taipei's most famous calligraphy master ! Quick ! Get in line ! 
 He's Taipei's most famous calligraphy master ! Quick ! Get in line ! , I will ! I could use some good luck ! 
I suppose you like cinematography and costumes and that sort of stuff ? ," Yes , I do . The look of a picture is very important . "
" Yes , I do . The look of a picture is very important . "," I think sound is even more important ! Guns , bombs , sirens--that's what makes a movie exciting ! "
" I think sound is even more important ! Guns , bombs , sirens--that's what makes a movie exciting ! ", You wouldn't know a good movie even if it bit you on the nose . 
 You wouldn't know a good movie even if it bit you on the nose . ," In my book , all a good movie needs is a chase scene and lots of things that blow up . "
" In my book , all a good movie needs is a chase scene and lots of things that blow up . "," Enough ! If we don't finish the game , there won't be time for any movies tonight ! "
What day is today ? ," It's Thursday , I think . "
" It's Thursday , I think . ", Tomorrow is Friday . It's going to be the weekend . 
 Tomorrow is Friday . It's going to be the weekend . ," We're busy on weekdays , but we'll have a good rest at the weekend . "
" We're busy on weekdays , but we'll have a good rest at the weekend . ", We'll meet again in a few days . 
I decided to go for this kind of life . , Try to keep cool . It's not an easy take . 
 Try to keep cool . It's not an easy take . , I know . I always hope for the best and prepare for the worst . 
 I know . I always hope for the best and prepare for the worst . , Then you will be in line for a doom . 
What day is it today ? , It's Friday . 
Are you new to this school ? ," Yes , I ’ m new . "
" Yes , I ’ m new . ", Is this your first year in college ? 
 Is this your first year in college ? , I transferred from another school . 
 I transferred from another school . , Where did you transfer from ? 
 Where did you transfer from ? , I was at PCC before . 
 I was at PCC before . , Why did you transfer ? 
 Why did you transfer ? ," I was going to go here first , but my grades weren ’ t good enough . "
" I was going to go here first , but my grades weren ’ t good enough . ", Did you like it at PCC ? 
 Did you like it at PCC ? , PCC is an incredible school . 
 PCC is an incredible school . ," Well , I wish you luck here . "
" Well , I wish you luck here . ", I ’ m sure I ’ ll like it here . 
There is something wrong with my girlfriend . , What's the trouble ? 
 What's the trouble ? , The department manager is all over her . He says he loves her . 
 The department manager is all over her . He says he loves her . , What about your friend ? Did she fall for him ? 
 What about your friend ? Did she fall for him ? ," Of course not ! She thinks he's an apple-head . She doesn't like an apple-headed man , you know . "
" Of course not ! She thinks he's an apple-head . She doesn't like an apple-headed man , you know . "," Now you don't have the butterflies in your stomach , do you ? "
Are you ready to go to the bank ? ," Sure , what do you need to do there ? "
" Sure , what do you need to do there ? ", There ’ s problem with my bank statement . There ’ s a mistake on it . I also need to withdraw some money some the ATM . 
 There ’ s problem with my bank statement . There ’ s a mistake on it . I also need to withdraw some money some the ATM . , I have to exchange some money . 
 I have to exchange some money . , that ’ s right . You ’ re going away next week . 
 that ’ s right . You ’ re going away next week . , I also want to see if my salary has been paid into my bank account . There was a problem last week . 
 I also want to see if my salary has been paid into my bank account . There was a problem last week . ," I have to pay my credit bill too . If I don ’ t pay it soon , the credit card company will charge me interest . "
" I have to pay my credit bill too . If I don ’ t pay it soon , the credit card company will charge me interest . ", Their interest rates are usually quite high . It ’ s a good idea to pay off your credit card debts before they attract interest . 
"It ’ s so relaxing , taking a walk in the country . The air is so fresh and clean . ", would you like to live in the country ? I ’ m not sure I ’ d like it . 
 would you like to live in the country ? I ’ m not sure I ’ d like it . ," I can see a lot of advantage and disadvantage . The problem is that , for me , each advantage has its own disadvantage . "
" I can see a lot of advantage and disadvantage . The problem is that , for me , each advantage has its own disadvantage . ", What do you mean ? 
 What do you mean ? ," Well , I hate the noise in the city , but I love being around lost of people . The problem is that you can ’ t have lots of people and have peace and quiet . The two just don ’ t go together . "
" Well , I hate the noise in the city , but I love being around lost of people . The problem is that you can ’ t have lots of people and have peace and quiet . The two just don ’ t go together . "," I see what you mean . I love being far away from a city , but I hate being so far away department stores and sports facilities . "
" I see what you mean . I love being far away from a city , but I hate being so far away department stores and sports facilities . "," People can ’ t have it both ways . If you live in the country , it is often less convenient . If you live in a city , it is noisy , but there ’ s more to do . "
" People can ’ t have it both ways . If you live in the country , it is often less convenient . If you live in a city , it is noisy , but there ’ s more to do . "," I would love to be surrounded by hills and streams . They ’ re so much better to look at than concrete , rows of parked cars and tall buildings . "
" I would love to be surrounded by hills and streams . They ’ re so much better to look at than concrete , rows of parked cars and tall buildings . "," I would love to hear the birds singing and feel the fresh breeze on my face . When the wind blows in the city , you get dust in your mouth and in your eyes . "
" I would love to hear the birds singing and feel the fresh breeze on my face . When the wind blows in the city , you get dust in your mouth and in your eyes . ", The view from the hill is so beautiful and relaxing . There ’ s so sign of pollution . The village looks so peaceful . 
 The view from the hill is so beautiful and relaxing . There ’ s so sign of pollution . The village looks so peaceful . , Just remember that in that village there ’ s nothing to do . There ’ s not even a pub or restaurant . There ’ s just one small shop with a poor selection of goods . 
 Just remember that in that village there ’ s nothing to do . There ’ s not even a pub or restaurant . There ’ s just one small shop with a poor selection of goods . , You ’ re right . I would have to travel to the city at least once a week to go shopping and see friends . I would hate living in the country ! 
Hey Mike . What are you doing ? , Nothing much . What are you up to ? 
 Nothing much . What are you up to ? , I was just concerned about Sam . He hasn't been himself lately . 
 I was just concerned about Sam . He hasn't been himself lately . , He took the civil service exam and failed . 
 He took the civil service exam and failed . , That sucks . He must feel depressed . 
 That sucks . He must feel depressed . , Yeah . He's been sitting in his room everyday for the last 4 days . 
 Yeah . He's been sitting in his room everyday for the last 4 days . , Why don't we take him out ? We can try to take his mind off of it . In the least show him that we're there for him . 
 Why don't we take him out ? We can try to take his mind off of it . In the least show him that we're there for him . , That's a great idea . Why don't you call him . I already talked to him a couple of times and it might be good for him to hear from somebody else . 
 That's a great idea . Why don't you call him . I already talked to him a couple of times and it might be good for him to hear from somebody else . , Ok . I'll call you back after I'm done . 
 Ok . I'll call you back after I'm done . , Sounds good . 
Did you hear Peter just retired ? ," Are you sure ? He is quite young , isn't he ? "
" Are you sure ? He is quite young , isn't he ? ", He is not young as he looks . I think he's almost sixty . 
 He is not young as he looks . I think he's almost sixty . , Really ? He looks so young . 
"Hello , Steven . Congratulations ! ", Thank you . 
 Thank you . , How's your married life ? 
 How's your married life ? , We're happy together now . We both think that we're a well-matched couple . 
 We're happy together now . We both think that we're a well-matched couple . , That's very good . It's said that marriage is the Ab of love . But the words may not be right . 
 That's very good . It's said that marriage is the Ab of love . But the words may not be right . , The situation differs in person . 
We have waited for a long time . When will we start ? , Take it easy . I have to cut my losses . 
"are you working overtime again ? Over the last two weeks , you have worked overtime every day without a break ! Your company is draining the life out of you ! "," I know , but I don't have a choice , my boss has complete control over our work schedules . I haven't made it out of the office before 9 PM a single day this week . "
" I know , but I don't have a choice , my boss has complete control over our work schedules . I haven't made it out of the office before 9 PM a single day this week . "," Well , I hope they're paying you the big bucks for all this work ... "
" Well , I hope they're paying you the big bucks for all this work ... "," No , not exactly , I'm working for minimum wage.And they don't give extra pay for overtime . Overtime is our own time . "
" No , not exactly , I'm working for minimum wage.And they don't give extra pay for overtime . Overtime is our own time . "," What ? ! Isn't there a law against that , I think there is some legislation that requires employers to give their employees a fair rate of wages . You should know your rights ! If you are putting in so many hours , they should give you some kind of compensation . "
" What ? ! Isn't there a law against that , I think there is some legislation that requires employers to give their employees a fair rate of wages . You should know your rights ! If you are putting in so many hours , they should give you some kind of compensation . "," They do give bonuses at the end of the year for the employees with highest productivity numbers , but frankly , it's not much of an incentive . They give us a bonus of ten dollars . "
" They do give bonuses at the end of the year for the employees with highest productivity numbers , but frankly , it's not much of an incentive . They give us a bonus of ten dollars . ", That's just wrong ! why don't you just quit ? 
 That's just wrong ! why don't you just quit ? ," I would , but I'm afraid I would't be able to find another job . I don't have very many job marketable skills , there aren't so many jobs that I'm qualified for . "
" I would , but I'm afraid I would't be able to find another job . I don't have very many job marketable skills , there aren't so many jobs that I'm qualified for . ", it sounds like any job will be better than the one you have now ! 
"The tranquility of the night , the chirping of some insects , everything is so natural ! ", I felt as if I had been in a different world . 
 I felt as if I had been in a different world . ," And I was overwhelmed by this scene , too . "
I'd like to reserve a table for three at 6:30 this evening . ," Let me check . Hold on , please ... Yes , that's fine . Smoking or nonsmoking area ? "
" Let me check . Hold on , please ... Yes , that's fine . Smoking or nonsmoking area ? "," Nonsmoking , please . "
" Nonsmoking , please . ", All right . May I have your name ? 
 All right . May I have your name ? , My surname is Gao . 
 My surname is Gao . ," How do you spell it , sir ? "
"OK . Come back into the classroom , class . "," Does the class start again , Mam ? "
" Does the class start again , Mam ? "," Yes , but to the health , this break has long enough . "
" Yes , but to the health , this break has long enough . "," Oh , breaktime flies . "
" Oh , breaktime flies . "," come on , baby . It ’ s time now . "
" come on , baby . It ’ s time now . "," Mam , another minute , could I ? "
" Mam , another minute , could I ? "," Hurry up , little boy . "
"why are you so upset today , Maria ? Cheer up ! "," oh , Iris , it ’ s about the job with the PR company . "
" oh , Iris , it ’ s about the job with the PR company . ", it ’ s a great opportunity . You should be happy with the offer . 
 it ’ s a great opportunity . You should be happy with the offer . , but my mother won ’ t allow me to accept any part-time job . I ’ m afraid she will say no again . 
 but my mother won ’ t allow me to accept any part-time job . I ’ m afraid she will say no again . , why ? It ’ s unfair . You can learn a lot from it . 
 why ? It ’ s unfair . You can learn a lot from it . , she says a part-time job is cursed blessing . It takes so much time and energy that I won ’ t be able to focus on my studys . 
 she says a part-time job is cursed blessing . It takes so much time and energy that I won ’ t be able to focus on my studys . , that may be true . But I ’ m sure you ’ re able to find a balance between them . Why not try it ? 
 that may be true . But I ’ m sure you ’ re able to find a balance between them . Why not try it ? ," I turned down quite a few offers before for her sake . But I ’ m a senior now , I don ’ t want to miss the chance this time . "
" I turned down quite a few offers before for her sake . But I ’ m a senior now , I don ’ t want to miss the chance this time . ", I agree with you but I think you really need to talk to your mother and tell her what's on your mind . 
 I agree with you but I think you really need to talk to your mother and tell her what's on your mind . ," I ’ ll try , but what if she insists ? "
" I ’ ll try , but what if she insists ? "," just let her know that the experience will be both amazing and rewarding . And more importantly , you can manage both your study and the job . "
" just let her know that the experience will be both amazing and rewarding . And more importantly , you can manage both your study and the job . ", do you think it will work ? 
 do you think it will work ? , sure . Every cloud has its silver lining . Just try . 
 sure . Every cloud has its silver lining . Just try . ," ok , I ’ ll do that . Thank you , Iris . "
" ok , I ’ ll do that . Thank you , Iris . "," sure . Good luck , Maria ! "
Where did you go yesterday ? , I went to play tennis in the public park . 
 I went to play tennis in the public park . , How often do you play tennis ? 
 How often do you play tennis ? , Twice a week . How about you ? 
 Twice a week . How about you ? , I seldom play tennis . I prefer football and basketball . 
 I seldom play tennis . I prefer football and basketball . , What is very difficult to gather team player together . 
 What is very difficult to gather team player together . , I usually play with my school-mates . 
 I usually play with my school-mates . , Do you like watching football matches ? 
 Do you like watching football matches ? , Yes . I went to Tinge Sport Centre for football match last Sunday . 
Why are you all dressed up ? , I've got a date . 
"I ’ m sick of my job , I always have to work late at night , and the company keeps me working in the office . "," Why don ’ t you find a new career where you can do what you enjoy , being outside working during the day ? "
" Why don ’ t you find a new career where you can do what you enjoy , being outside working during the day ? ", What do you suggest ? I can ’ t afford to quit my job until I get a new one . 
 What do you suggest ? I can ’ t afford to quit my job until I get a new one . ," Maybe you have two choices . You could attend school during the day , or you could get a position that provides training . "
I saw an interesting program on TV last night . It was about elderly people . , And what did the program say ? 
 And what did the program say ? , It said that people with a positive attitude tend to live longer and happier . 
 It said that people with a positive attitude tend to live longer and happier . , I think that many physicians now agree with that idea . 
 I think that many physicians now agree with that idea . , And the TV program also said that physical exercise helps people deal with stress . 
 And the TV program also said that physical exercise helps people deal with stress . ," And the most active older people seem to enjoy some kind of physical exercise . My father is over 60 years old , and he lifts weights every day . "
"Saying you want to kill yourself , you terrified me out of my wits . ", I was playing a joke on you . 
 I was playing a joke on you . , That ’ s too much . 
 That ’ s too much . ," Dear , forgive me . I won ’ t do that again . "
Where are you going this weekend ? , I ’ m going to Hainan . 
 I ’ m going to Hainan . , Oh really ? It ’ ll be nice and warm there . Have you been there before ? 
 Oh really ? It ’ ll be nice and warm there . Have you been there before ? ," Yes , actually it ’ s my second visit . I was there last October . "
" Yes , actually it ’ s my second visit . I was there last October . ", I see . What ’ s it like there ? 
 I see . What ’ s it like there ? ," Well , the life style is much more relaxed than here in the city . And the seafood is tastier ! "
" Well , the life style is much more relaxed than here in the city . And the seafood is tastier ! "," Well , have a great time ! "
"Hurry up , Daniel , it's Barbie time . "," All right , Sis ! "
" All right , Sis ! "," Come on , it's cool outside . "
" Come on , it's cool outside . ", I really wish Mom and Dad were here with us . 
 I really wish Mom and Dad were here with us . ," Hey , Daniel , what's your favorite weather ? Snowy or sunny ? "
" Hey , Daniel , what's your favorite weather ? Snowy or sunny ? "," Me ? Er , I like hot weather , just like today . "
" Me ? Er , I like hot weather , just like today . ", What ? Are you crazy ? 
 What ? Are you crazy ? , I like to watch Barbie sticking her tongue out . 
 I like to watch Barbie sticking her tongue out . ," Ew , Danny , gross ! "
" Ew , Danny , gross ! "," By the way , what's your favorite weather ? "
" By the way , what's your favorite weather ? "," I love snowy , because it is very very romantic . "
" I love snowy , because it is very very romantic . "," Look , is that Tom ? "
My girlfriend dumped me . ," Well , that's life . "
Did Roll win the race ? ," Yeah , he did . But he only won it by a hair's breadth . "
" Yeah , he did . But he only won it by a hair's breadth . "," But anyway , he won at last . "
" But anyway , he won at last . ", Yeah . To win is the most important thing . 
What's this then ? ," It's my geography , sir.The Map of Africa you set us . "
" It's my geography , sir.The Map of Africa you set us . ", But this should have been handed in last Thursday . 
 But this should have been handed in last Thursday . ," Yes , I know , sir . I'm sorry . "
" Yes , I know , sir . I'm sorry . "," Well , what's your excuse then ? "
" Well , what's your excuse then ? ", My mother's been ill and I had to stay at home . 
 My mother's been ill and I had to stay at home . ," Oh , Yes ? "
" Oh , Yes ? "," It's true , sir . "
"Hey , This is your order . ", Are you new here ? I come to this coffeehouse often . But I didn't see you here before . 
 Are you new here ? I come to this coffeehouse often . But I didn't see you here before . , Yes . I started this part-time job just three days ago . And my internship will last 1 week . I'm still a student now . 
 Yes . I started this part-time job just three days ago . And my internship will last 1 week . I'm still a student now . , Do you mind if I ask you why you've taken the part-time job here ? 
 Do you mind if I ask you why you've taken the part-time job here ? ," Of course not . You know , there are many foreign customers like you here . And I think it's good for me to improve my oral English . "
" Of course not . You know , there are many foreign customers like you here . And I think it's good for me to improve my oral English . "," Oh , are you an English student ? Or you just study English for interest's sake ? "
" Oh , are you an English student ? Or you just study English for interest's sake ? "," No , I'm not an English student . But I do like English . I'm going to be a volunteer in the 2008 Olympics where I want to be helpful with the language . So I try to improve my English . "
" No , I'm not an English student . But I do like English . I'm going to be a volunteer in the 2008 Olympics where I want to be helpful with the language . So I try to improve my English . ", Very nice . Thank you for your time . 
 Very nice . Thank you for your time . ," Thank you , sir . But I'm not allowed to accept any tips . "
" Thank you , sir . But I'm not allowed to accept any tips . ", OK then . I don't want to put you in trouble . 
 OK then . I don't want to put you in trouble . ," Well , would you like something else ? The new-made cafe parfait is really good . Want some ? "
" Well , would you like something else ? The new-made cafe parfait is really good . Want some ? ", OK . But I'd like some cookies . 
 OK . But I'd like some cookies . ," Sure . If you want more coffee , please go over there . There is self-help coffee maker . "
" Sure . If you want more coffee , please go over there . There is self-help coffee maker . ", I surely know that . Don't forget that I am a regular customer here . 
 I surely know that . Don't forget that I am a regular customer here . ," Oops . Well , wait for a while . We'll get it done quickly . "
" Oops . Well , wait for a while . We'll get it done quickly . ", It's OK . Thank you . 
Do you think the bad weather will last long ? , I don't think so . It changes so quickly this time . 
 I don't think so . It changes so quickly this time . , I hope so . We have planed to visit the square but we have to cancel it . 
